,Unnamed: 0,ID,Code,Language Name,Alternate Names,Endangerment Status,Estimated Speakers,Language Family,Dialects/Variants,Additional Information,Notes,Geographical Regions,Region,Coordinates,Index,Country,Latitude,Longitude
0,0,3645,knw,!Xun,Ju; !Xun (Ekoka); Kung-Ekoka; !Kung; Ekoka-!Xû; Kung; !Ku; !Xu; !Hu; Qxü !Khung; !Xung; Ekoka;,Vulnerable,16000.0,Kx'a ,"Southeastern !Xun, Northwestern !Xun, Central !Xun",,,South Africa;Namibia;Angola;,Africa,"(-28.74358, 23.983154)",0,South Africa,-28.74358,23.983154
1,1,3645,knw,!Xun,Ju; !Xun (Ekoka); Kung-Ekoka; !Kung; Ekoka-!Xû; Kung; !Ku; !Xu; !Hu; Qxü !Khung; !Xung; Ekoka;,Vulnerable,16000.0,Kx'a ,"Southeastern !Xun, Northwestern !Xun, Central !Xun",,,South Africa;Namibia;Angola;,Africa,"(-28.74358, 23.983154)",0,Namibia,-28.74358,23.983154
2,2,3645,knw,!Xun,Ju; !Xun (Ekoka); Kung-Ekoka; !Kung; Ekoka-!Xû; Kung; !Ku; !Xu; !Hu; Qxü !Khung; !Xung; Ekoka;,Vulnerable,16000.0,Kx'a ,"Southeastern !Xun, Northwestern !Xun, Central !Xun",,,South Africa;Namibia;Angola;,Africa,"(-28.74358, 23.983154)",0,Angola,-28.74358,23.983154
3,3,3645,knw,!Xun,Ju; !Xun (Ekoka); Kung-Ekoka; !Kung; Ekoka-!Xû; Kung; !Ku; !Xu; !Hu; Qxü !Khung; !Xung; Ekoka;,Vulnerable,16000.0,Kx'a ,"Southeastern !Xun, Northwestern !Xun, Central !Xun",,,South Africa;Namibia;Angola;,Africa,"(-17.560247, 18.050537)",0,South Africa,-17.560247,18.050537
4,4,3645,knw,!Xun,Ju; !Xun (Ekoka); Kung-Ekoka; !Kung; Ekoka-!Xû; Kung; !Ku; !Xu; !Hu; Qxü !Khung; !Xung; Ekoka;,Vulnerable,16000.0,Kx'a ,"Southeastern !Xun, Northwestern !Xun, Central !Xun",,,South Africa;Namibia;Angola;,Africa,"(-17.560247, 18.050537)",0,Namibia,-17.560247,18.050537
5,5,3645,knw,!Xun,Ju; !Xun (Ekoka); Kung-Ekoka; !Kung; Ekoka-!Xû; Kung; !Ku; !Xu; !Hu; Qxü !Khung; !Xung; Ekoka;,Vulnerable,16000.0,Kx'a ,"Southeastern !Xun, Northwestern !Xun, Central !Xun",,,South Africa;Namibia;Angola;,Africa,"(-17.560247, 18.050537)",0,Angola,-17.560247,18.050537
6,6,3645,knw,!Xun,Ju; !Xun (Ekoka); Kung-Ekoka; !Kung; Ekoka-!Xû; Kung; !Ku; !Xu; !Hu; Qxü !Khung; !Xung; Ekoka;,Vulnerable,16000.0,Kx'a ,"Southeastern !Xun, Northwestern !Xun, Central !Xun",,,South Africa;Namibia;Angola;,Africa,"(-19.621892, 20.253296)",0,South Africa,-19.621892,20.253296
7,7,3645,knw,!Xun,Ju; !Xun (Ekoka); Kung-Ekoka; !Kung; Ekoka-!Xû; Kung; !Ku; !Xu; !Hu; Qxü !Khung; !Xung; Ekoka;,Vulnerable,16000.0,Kx'a ,"Southeastern !Xun, Northwestern !Xun, Central !Xun",,,South Africa;Namibia;Angola;,Africa,"(-19.621892, 20.253296)",0,Namibia,-19.621892,20.253296
8,8,3645,knw,!Xun,Ju; !Xun (Ekoka); Kung-Ekoka; !Kung; Ekoka-!Xû; Kung; !Ku; !Xu; !Hu; Qxü !Khung; !Xung; Ekoka;,Vulnerable,16000.0,Kx'a ,"Southeastern !Xun, Northwestern !Xun, Central !Xun",,,South Africa;Namibia;Angola;,Africa,"(-19.621892, 20.253296)",0,Angola,-19.621892,20.253296
9,9,3645,knw,!Xun,Ju; !Xun (Ekoka); Kung-Ekoka; !Kung; Ekoka-!Xû; Kung; !Ku; !Xu; !Hu; Qxü !Khung; !Xung; Ekoka;,Vulnerable,16000.0,Kx'a ,"Southeastern !Xun, Northwestern !Xun, Central !Xun",,,South Africa;Namibia;Angola;,Africa,"(-21.749296, 19.89624)",0,South Africa,-21.749296,19.89624
10,10,3645,knw,!Xun,Ju; !Xun (Ekoka); Kung-Ekoka; !Kung; Ekoka-!Xû; Kung; !Ku; !Xu; !Hu; Qxü !Khung; !Xung; Ekoka;,Vulnerable,16000.0,Kx'a ,"Southeastern !Xun, Northwestern !Xun, Central !Xun",,,South Africa;Namibia;Angola;,Africa,"(-21.749296, 19.89624)",0,Namibia,-21.749296,19.89624
11,11,3645,knw,!Xun,Ju; !Xun (Ekoka); Kung-Ekoka; !Kung; Ekoka-!Xû; Kung; !Ku; !Xu; !Hu; Qxü !Khung; !Xung; Ekoka;,Vulnerable,16000.0,Kx'a ,"Southeastern !Xun, Northwestern !Xun, Central !Xun",,,South Africa;Namibia;Angola;,Africa,"(-21.749296, 19.89624)",0,Angola,-21.749296,19.89624
12,12,3956,bpk,'Ôrôê,Orowe; Boewe; Neukaledonien;,Endangered,590.0,Austronesian; Malayo-Polynesian; Oceanic; New Caledonian,,,,New Caledonia;,Pacific,"(-21.4223, 165.4678)",1,New Caledonia,-21.4223,165.4678
13,13,1933,taa,(Lower) Tanana,,Critically Endangered,25.0,Athabaskan-Eyak-Tlingit; Dene (Athabaskan),Minto-Nenana; Salcha; Chena,,"Tanana is the language of the Lower Tanana river, extending from Salcha through Fairbanks and Nenana to the Minto Flats.",USA;,North America,"(65.157778, -149.37)",2,United States of America,65.157778,-149.37
14,14,1933,taa,(Lower) Tanana,,Critically Endangered,25.0,Athabaskan-Eyak-Tlingit; Dene (Athabaskan),Minto-Nenana; Salcha; Chena,,"Tanana is the language of the Lower Tanana river, extending from Salcha through Fairbanks and Nenana to the Minto Flats.",USA;,North America,"(64.521111, -146.980556)",2,United States of America,64.521111,-146.980556
15,15,1933,taa,(Lower) Tanana,,Critically Endangered,25.0,Athabaskan-Eyak-Tlingit; Dene (Athabaskan),Minto-Nenana; Salcha; Chena,,"Tanana is the language of the Lower Tanana river, extending from Salcha through Fairbanks and Nenana to the Minto Flats.",USA;,North America,"(64.558056, -149.090556)",2,United States of America,64.558056,-149.090556
